timestamp;sample_val;
0s;0;
0.0011337868480725624s;0;
0.0022675736961451248s;0;
0.003401360544217687s;0;
0.0045351473922902496s;0;
0.005668934240362812s;0;
0.006802721088435374s;0;
0.007936507936507936s;0;
0.009070294784580499s;0;
0.010204081632653062s;0;
0.011337868480725623s;0;
0.012471655328798186s;0;
0.013605442176870748s;0;
0.01473922902494331s;0;
0.015873015873015872s;0;
0.017006802721088437s;0;
0.018140589569160998s;0;
0.01927437641723356s;0;
0.020408163265306124s;0;
0.021541950113378686s;0;
0.022675736961451247s;0;
0.02380952380952381s;0;
0.024943310657596373s;0;
0.026077097505668934s;0;
0.027210884353741496s;0;
0.02834467120181406s;0;
0.02947845804988662s;0;
0.030612244897959183s;0;
0.02723356009070295s;0;
0.02836734693877551s;0;
0.029501133786848075s;0;
0.030634920634920636s;0;
0.0317687074829932s;0;
0.03290249433106576s;0;
0.034036281179138324s;0;
0.035170068027210885s;0;
0.036303854875283446s;0;
0.03743764172335601s;0;
0.038571428571428576s;0;
0.03970521541950114s;0;
0.0408390022675737s;0;
0.04197278911564626s;0;
0.04310657596371882s;0;
0.04424036281179139s;0;
0.045374149659863944s;0;
0.04650793650793651s;0;
0.04764172335600907s;0;
0.048775510204081635s;0;
0.049909297052154196s;0;
0.05104308390022676s;0;
0.052176870748299325s;0;
0.05331065759637188s;0;
0.05444444444444445s;0;
0.05557823129251701s;0;
0.05671201814058957s;0;
0.05333333333333334s;10677;
0.0544671201814059s;16949;
0.05560090702947846s;22727;
0.05673469387755102s;25973;
0.05786848072562358s;25823;
0.05900226757369615s;24293;
0.06013605442176871s;22877;
0.06126984126984127s;20983;
0.062403628117913834s;17848;
0.0635374149659864s;13242;
0.06467120181405896s;7767;
0.06580498866213152s;2925;
0.06693877551020408s;773;
0.06807256235827665s;4633;
0.06920634920634922s;9216;
0.07034013605442177s;13104;
0.07147392290249434s;15974;
0.07260770975056689s;18983;
0.07374149659863946s;21394;
0.07487528344671202s;22291;
0.07600907029478458s;22138;
0.07714285714285715s;19167;
0.0782766439909297s;12038;
0.07941043083900227s;4640;
0.08054421768707483s;898;
0.0816780045351474s;52;
0.08281179138321995s;0;
0.07943310657596371s;17855;
0.08056689342403628s;23624;
0.08170068027210883s;26509;
0.0828344671201814s;27212;
0.08396825396825397s;26004;
0.08510204081632652s;23314;
0.08623582766439909s;20428;
0.08736961451247165s;18162;
0.08850340136054421s;15170;
0.08963718820861677s;10157;
0.09077097505668934s;4284;
0.0919047619047619s;1183;
0.09303854875283446s;6675;
0.09417233560090703s;12203;
0.0953061224489796s;16373;
0.09643990929705215s;18740;
0.0975736961451247s;20920;
0.09870748299319727s;24003;
0.09984126984126984s;26671;
0.1009750566893424s;26796;
0.10210884353741496s;23338;
0.10324263038548753s;16714;
0.10437641723356009s;8989;
0.10551020408163264s;3174;
0.10664399092970521s;595;
0.10777777777777778s;35;
0.10891156462585033s;0;
0.1055328798185941s;17586;
0.10666666666666667s;20919;
0.10780045351473923s;21806;
0.1089342403628118s;22385;
0.11006802721088435s;21470;
0.11120181405895692s;18158;
0.11233560090702949s;13733;
0.11346938775510204s;8864;
0.11460317460317461s;3723;
0.11573696145124716s;1088;
0.11687074829931973s;6116;
0.1180045351473923s;12073;
0.11913832199546485s;17785;
0.12027210884353742s;21737;
0.12140589569160998s;23811;
0.12253968253968255s;25097;
0.12367346938775511s;25931;
0.12480725623582767s;25029;
0.12594104308390022s;22390;
0.1270748299319728s;19757;
0.12820861678004536s;17203;
0.1293424036281179s;13003;
0.13047619047619047s;7245;
0.13160997732426305s;2537;
0.1327437641723356s;446;
0.13387755102040816s;21;
0.13501133786848074s;0;
0.1316326530612245s;13842;
0.13276643990929707s;16972;
0.13390022675736962s;16873;
0.13503401360544218s;15632;
0.13616780045351476s;13385;
0.1373015873015873s;9424;
0.13843537414965987s;4842;
0.13956916099773245s;734;
0.140702947845805s;3706;
0.14183673469387756s;9518;
0.1429705215419501s;15839;
0.1441043083900227s;20787;
0.14523809523809525s;23600;
0.1463718820861678s;24290;
0.14750566893424039s;23049;
0.14863945578231294s;21016;
0.1497732426303855s;19268;
0.15090702947845808s;17692;
0.15204081632653063s;15872;
0.15317460317460319s;13300;
0.15430839002267574s;9325;
0.15544217687074832s;4628;
0.15657596371882088s;1252;
0.15770975056689343s;35;
0.15884353741496599s;56;
0.15997732426303857s;6;
0.16111111111111112s;0;
0.15773242630385487s;15483;
0.15886621315192742s;16681;
0.16s;13887;
0.16113378684807256s;8689;
0.1622675736961451s;2226;
0.16340136054421767s;3657;
0.16453514739229025s;7702;
0.1656689342403628s;11164;
0.16680272108843536s;15334;
0.16793650793650794s;19026;
0.1690702947845805s;21114;
0.17020408163265305s;22200;
0.17133786848072563s;23550;
0.17247165532879818s;25645;
0.17360544217687074s;26599;
0.1747392290249433s;24123;
0.17587301587301588s;18780;
0.17700680272108843s;13062;
0.17814058956916098s;8292;
0.17927437641723354s;3893;
0.18040816326530612s;424;
0.18154195011337868s;3303;
0.18267573696145123s;3435;
0.1838095238095238s;1785;
0.18494331065759637s;443;
0.18607709750566892s;34;
0.1872108843537415s;0;
0.18383219954648525s;13661;
0.18496598639455783s;14277;
0.18609977324263038s;10232;
0.18723356009070294s;3787;
0.18836734693877552s;3105;
0.18950113378684807s;9481;
0.19063492063492063s;14586;
0.19176870748299318s;18151;
0.19290249433106577s;20697;
0.19403628117913832s;22928;
0.19517006802721087s;24938;
0.19630385487528346s;25354;
0.197437641723356s;23383;
0.19857142857142857s;20279;
0.19970521541950115s;16320;
0.2008390022675737s;10922;
0.20197278911564626s;5414;
0.2031065759637188s;808;
0.2042403628117914s;4270;
0.20537414965986395s;10474;
0.2065079365079365s;15365;
0.20764172335600906s;15481;
0.20877551020408164s;10505;
0.2099092970521542s;4433;
0.21104308390022675s;993;
0.21217687074829933s;78;
0.21331065759637188s;0;
0.20993197278911566s;1113;
0.2110657596371882s;2677;
0.2121995464852608s;8828;
0.21333333333333335s;15286;
0.2144671201814059s;20242;
0.21560090702947846s;23029;
0.21673469387755104s;23561;
0.2178684807256236s;22745;
0.21900226757369615s;22033;
0.2201360544217687s;21566;
0.22126984126984128s;20326;
0.22240362811791384s;18382;
0.2235374149659864s;16671;
0.22467120181405897s;14496;
0.22580498866213153s;10869;
0.22693877551020408s;6279;
0.22807256235827666s;1418;
0.22920634920634922s;3534;
0.23034013605442177s;8942;
0.23147392290249433s;14898;
0.2326077097505669s;19635;
0.23374149659863946s;19655;
0.23487528344671202s;13621;
0.2360090702947846s;5805;
0.23714285714285716s;1268;
0.2382766439909297s;91;
0.23941043083900226s;0;
0.23603174603174604s;5497;
0.23716553287981862s;10096;
0.23829931972789117s;13667;
0.23943310657596373s;17006;
0.2405668934240363s;19992;
0.24170068027210886s;20628;
0.24283446712018142s;19708;
0.24396825396825397s;18772;
0.24510204081632656s;17092;
0.2462358276643991s;14628;
0.24736961451247166s;12238;
0.24850340136054425s;9841;
0.2496371882086168s;7006;
0.2507709750566894s;3470;
0.2519047619047619s;811;
0.2530385487528345s;5235;
0.254172335600907s;9003;
0.2553061224489796s;12233;
0.2564399092970522s;15381;
0.2575736961451247s;17848;
0.2587074829931973s;18835;
0.2598412698412699s;17619;
0.2609750566893424s;12870;
0.262108843537415s;6097;
0.26324263038548756s;1514;
0.2643764172335601s;130;
0.2655102040816327s;0;
0.26213151927437645s;13591;
0.263265306122449s;18418;
0.26439909297052155s;21462;
0.26553287981859414s;23971;
0.2666666666666667s;26181;
0.26780045351473925s;26992;
0.2689342403628118s;25120;
0.27006802721088435s;20700;
0.27120181405895694s;15509;
0.2723356009070295s;11317;
0.27346938775510204s;8135;
0.2746031746031746s;4653;
0.2757369614512472s;595;
0.27687074829931974s;3618;
0.2780045351473923s;8730;
0.2791383219954649s;15011;
0.2802721088435374s;20524;
0.28140589569161s;23426;
0.28253968253968254s;23941;
0.2836734693877551s;23317;
0.2848072562358277s;22083;
0.2859410430839002s;18560;
0.2870748299319728s;11651;
0.2882086167800454s;4625;
0.2893424036281179s;964;
0.2904761904761905s;71;
0.2916099773242631s;0;
0.2882312925170068s;18188;
0.2893650793650794s;23187;
0.2904988662131519s;24094;
0.2916326530612245s;24054;
0.29276643990929707s;24306;
0.2939002267573696s;22923;
0.2950340136054422s;18115;
0.29616780045351476s;10828;
0.2973015873015873s;4231;
0.29843537414965987s;167;
0.29956916099773245s;4213;
0.300702947845805s;9277;
0.30183673469387756s;14349;
0.30297052154195014s;18397;
0.30410430839002267s;21438;
0.30523809523809525s;23624;
0.3063718820861678s;24417;
0.30750566893424036s;23414;
0.30863945578231294s;21504;
0.30977324263038547s;19483;
0.31090702947845805s;16881;
0.31204081632653063s;12976;
0.31317460317460316s;7898;
0.31430839002267574s;3255;
0.3154421768707483s;734;
0.31657596371882085s;58;
0.31770975056689343s;0;
0.31433106575963715s;0;
0.31546485260770973s;0;
0.3165986394557823s;0;
0.31773242630385484s;0;
0.3188662131519274s;0;
0.32s;0;
0.32113378684807253s;0;
0.3222675736961451s;0;
0.3234013605442177s;0;
0.3245351473922902s;0;
0.3256689342403628s;0;
0.32680272108843533s;0;
0.3279365079365079s;0;
0.3290702947845805s;0;
0.330204081632653s;0;
0.3313378684807256s;0;
0.3324716553287982s;0;
0.3336054421768707s;0;
0.3347392290249433s;0;
0.3358730158730159s;0;
0.3370068027210884s;0;
0.338140589569161s;0;
0.33927437641723357s;0;
0.3404081632653061s;0;
0.3415419501133787s;0;
0.34267573696145126s;0;
0.3438095238095238s;15245;
0.3404308390022676s;0;
0.34156462585034014s;0;
0.3426984126984127s;0;
0.3438321995464853s;0;
0.34496598639455783s;0;
0.3460997732426304s;0;
0.34723356009070294s;0;
0.3483673469387755s;0;
0.3495011337868481s;0;
0.35063492063492063s;0;
0.3517687074829932s;0;
0.3529024943310658s;0;
0.3540362811791383s;0;
0.3551700680272109s;0;
0.3563038548752835s;0;
0.357437641723356s;0;
0.3585714285714286s;0;
0.3597052154195012s;0;
0.3608390022675737s;0;
0.3619727891156463s;0;
0.36310657596371887s;0;
0.3642403628117914s;0;
0.365374149659864s;0;
0.3665079365079365s;0;
0.3676417233560091s;0;
0.36877551020408167s;0;
0.3699092970521542s;3935;
0.36653061224489797s;0;
0.3676643990929705s;0;
0.3687981859410431s;0;
0.36993197278911566s;0;
0.3710657596371882s;0;
0.37219954648526077s;0;
0.37333333333333335s;0;
0.3744671201814059s;0;
0.37560090702947846s;0;
0.37673469387755104s;0;
0.37786848072562357s;0;
0.37900226757369615s;0;
0.38013605442176873s;0;
0.38126984126984126s;0;
0.38240362811791384s;0;
0.38353741496598637s;0;
0.38467120181405895s;0;
0.38580498866213153s;0;
0.38693877551020406s;0;
0.38807256235827664s;0;
0.3892063492063492s;0;
0.39034013605442175s;0;
0.39147392290249433s;0;
0.3926077097505669s;0;
0.39374149659863944s;0;
0.394875283446712s;0;
0.3960090702947846s;8512;
0.3926303854875284s;0;
0.39376417233560096s;0;
0.3948979591836735s;0;
0.39603174603174607s;0;
0.39716553287981865s;0;
0.3982993197278912s;0;
0.39943310657596376s;0;
0.40056689342403634s;0;
0.40170068027210887s;0;
0.40283446712018145s;0;
0.403968253968254s;0;
0.40510204081632656s;0;
0.40623582766439914s;0;
0.40736961451247167s;0;
0.40850340136054425s;0;
0.40963718820861683s;0;
0.41077097505668936s;0;
0.41190476190476194s;0;
0.4130385487528345s;0;
0.41417233560090705s;0;
0.41530612244897963s;0;
0.4164399092970522s;0;
0.41757369614512474s;0;
0.4187074829931973s;0;
0.4198412698412699s;0;
0.42097505668934243s;0;
0.422108843537415s;11584;
0.41873015873015873s;0;
0.4198639455782313s;0;
0.4209977324263039s;0;
0.4221315192743764s;0;
0.423265306122449s;0;
0.4243990929705216s;0;
0.4255328798185941s;0;
0.4266666666666667s;0;
0.4278004535147392s;0;
0.4289342403628118s;0;
0.4300680272108844s;0;
0.4312018140589569s;0;
0.4323356009070295s;0;
0.4334693877551021s;0;
0.4346031746031746s;0;
0.4357369614512472s;0;
0.43687074829931977s;0;
0.4380045351473923s;0;
0.4391383219954649s;0;
0.4402721088435374s;0;
0.44140589569161s;0;
0.44253968253968257s;0;
0.4436734693877551s;0;
0.4448072562358277s;0;
0.44594104308390026s;0;
0.4470748299319728s;0;
0.44820861678004537s;5580;
0.44482993197278914s;0;
0.44596371882086167s;0;
0.44709750566893425s;0;
0.4482312925170068s;0;
0.44936507936507936s;0;
0.45049886621315194s;0;
0.45163265306122446s;0;
0.45276643990929705s;0;
0.45390022675736963s;0;
0.45503401360544216s;0;
0.45616780045351474s;0;
0.4573015873015873s;0;
