timestamp;sample_val;
0.45843537414965985s;0;
0.45956916099773243s;0;
0.460702947845805s;0;
0.46183673469387754s;0;
0.4629705215419501s;0;
0.46410430839002265s;0;
0.46523809523809523s;0;
0.4663718820861678s;0;
0.46750566893424034s;0;
0.4686394557823129s;0;
0.4697732426303855s;0;
0.47090702947845803s;0;
0.4720408163265306s;0;
0.4731746031746032s;7716;
0.4743083900226757s;506;
0.47092970521541955s;0;
0.4720634920634921s;0;
0.47319727891156466s;0;
0.47433106575963724s;0;
0.47546485260770976s;0;
0.47659863945578235s;0;
0.47773242630385493s;0;
0.47886621315192746s;0;
0.48000000000000004s;0;
0.4811337868480726s;0;
0.48226757369614515s;0;
0.48340136054421773s;0;
0.48453514739229026s;0;
0.48566893424036284s;0;
0.4868027210884354s;0;
0.48793650793650795s;0;
0.48907029478458053s;0;
0.4902040816326531s;0;
0.49133786848072564s;0;
0.4924716553287982s;0;
0.4936054421768708s;0;
0.49473922902494333s;0;
0.4958730158730159s;0;
0.4970068027210885s;0;
0.498140589569161s;0;
0.4992743764172336s;0;
0.5004081632653061s;6139;
0.4970294784580499s;0;
0.4981632653061225s;0;
0.499297052154195s;0;
0.5004308390022676s;0;
0.5015646258503401s;0;
0.5026984126984128s;0;
0.5038321995464853s;0;
0.5049659863945578s;0;
0.5060997732426304s;0;
0.507233560090703s;0;
0.5083673469387755s;0;
0.5095011337868481s;0;
0.5106349206349207s;0;
0.5117687074829932s;0;
0.5129024943310658s;0;
0.5140362811791384s;0;
0.5151700680272109s;0;
0.5163038548752834s;0;
0.517437641723356s;0;
0.5185714285714286s;0;
0.5197052154195011s;0;
0.5208390022675737s;0;
0.5219727891156463s;0;
0.5231065759637188s;0;
0.5242403628117914s;0;
0.525374149659864s;0;
0.5265079365079365s;11831;
0.5231292517006804s;0;
0.5242630385487529s;0;
0.5253968253968254s;0;
0.526530612244898s;0;
0.5276643990929706s;0;
0.5287981859410431s;0;
0.5299319727891157s;0;
0.5310657596371883s;0;
0.5321995464852608s;0;
0.5333333333333334s;0;
0.534467120181406s;0;
0.5356009070294785s;0;
0.536734693877551s;0;
0.5378684807256237s;0;
0.5390022675736962s;0;
0.5401360544217687s;0;
0.5412698412698413s;0;
0.5424036281179139s;0;
0.5435374149659864s;0;
0.544671201814059s;0;
0.5458049886621316s;0;
0.5469387755102041s;0;
0.5480725623582767s;0;
0.5492063492063493s;0;
0.5503401360544218s;0;
0.5514739229024944s;0;
0.5526077097505669s;13777;
0.5492290249433107s;0;
0.5503628117913832s;0;
0.5514965986394558s;0;
0.5526303854875284s;0;
0.5537641723356009s;0;
0.5548979591836735s;0;
0.5560317460317461s;0;
0.5571655328798186s;0;
0.5582993197278912s;0;
0.5594331065759638s;0;
0.5605668934240363s;0;
0.5617006802721088s;0;
0.5628344671201815s;0;
0.563968253968254s;0;
0.5651020408163265s;0;
0.5662358276643992s;0;
0.5673696145124717s;0;
0.5685034013605442s;0;
0.5696371882086169s;0;
0.5707709750566894s;0;
0.5719047619047619s;0;
0.5730385487528344s;0;
0.5741723356009071s;0;
0.5753061224489796s;0;
0.5764399092970521s;0;
0.5775736961451248s;0;
0.5787074829931973s;12226;
0.5753287981859411s;0;
0.5764625850340136s;0;
0.5775963718820861s;0;
0.5787301587301588s;0;
0.5798639455782313s;0;
0.5809977324263038s;0;
0.5821315192743765s;0;
0.583265306122449s;0;
0.5843990929705215s;0;
0.5855328798185941s;0;
0.5866666666666667s;0;
0.5878004535147392s;0;
0.5889342403628118s;0;
0.5900680272108844s;0;
0.5912018140589569s;0;
0.5923356009070295s;0;
0.593469387755102s;0;
0.5946031746031746s;0;
0.5957369614512472s;0;
0.5968707482993197s;0;
0.5980045351473923s;0;
0.5991383219954649s;0;
0.6002721088435374s;0;
0.60140589569161s;0;
0.6025396825396826s;0;
0.6036734693877551s;0;
0.6048072562358277s;9697;
0.6014285714285715s;0;
0.6025623582766441s;0;
0.6036961451247167s;0;
0.6048299319727892s;0;
0.6059637188208618s;0;
0.6070975056689344s;0;
0.6082312925170069s;0;
0.6093650793650794s;0;
0.6104988662131521s;0;
0.6116326530612246s;0;
0.6127664399092971s;0;
0.6139002267573697s;0;
0.6150340136054423s;0;
0.6161678004535148s;0;
0.6173015873015874s;0;
0.61843537414966s;0;
0.6195691609977325s;0;
0.620702947845805s;0;
0.6218367346938777s;0;
0.6229705215419502s;0;
0.6241043083900227s;0;
0.6252380952380954s;0;
0.6263718820861679s;0;
0.6275056689342404s;0;
0.6286394557823131s;0;
0.6297732426303856s;0;
0.6309070294784581s;7549;
0.6275283446712018s;0;
0.6286621315192743s;0;
0.6297959183673469s;0;
0.6309297052154195s;0;
0.632063492063492s;0;
0.6331972789115646s;0;
0.6343310657596372s;0;
0.6354648526077097s;0;
0.6365986394557823s;0;
0.6377324263038548s;0;
0.6388662131519274s;0;
0.64s;0;
0.6411337868480725s;0;
0.6422675736961451s;0;
0.6434013605442177s;0;
0.6445351473922902s;0;
0.6456689342403628s;0;
0.6468027210884354s;0;
0.6479365079365079s;0;
0.6490702947845804s;0;
0.6502040816326531s;0;
0.6513378684807256s;0;
0.6524716553287981s;0;
0.6536054421768707s;0;
0.6547392290249433s;0;
0.6558730158730158s;0;
0.6570068027210884s;1322;
0.6536281179138322s;0;
0.6547619047619048s;0;
0.6558956916099774s;0;
0.6570294784580499s;0;
0.6581632653061225s;0;
0.6592970521541951s;0;
0.6604308390022676s;0;
0.6615646258503401s;0;
0.6626984126984128s;0;
0.6638321995464853s;0;
0.6649659863945578s;0;
0.6660997732426305s;0;
0.667233560090703s;0;
0.6683673469387755s;0;
0.6695011337868482s;0;
0.6706349206349207s;0;
0.6717687074829932s;0;
0.6729024943310659s;0;
0.6740362811791384s;0;
0.6751700680272109s;0;
0.6763038548752835s;0;
0.6774376417233561s;0;
0.6785714285714286s;0;
0.6797052154195012s;0;
0.6808390022675738s;0;
0.6819727891156463s;0;
0.6831065759637189s;3669;
0.6797278911564626s;0;
0.6808616780045352s;0;
0.6819954648526078s;0;
0.6831292517006803s;0;
0.6842630385487529s;0;
0.6853968253968254s;0;
0.686530612244898s;0;
0.6876643990929706s;0;
0.6887981859410431s;0;
0.6899319727891157s;0;
0.6910657596371883s;0;
0.6921995464852608s;0;
0.6933333333333334s;0;
0.6944671201814059s;0;
0.6956009070294785s;0;
0.696734693877551s;0;
0.6978684807256236s;0;
0.6990022675736962s;0;
0.7001360544217687s;0;
0.7012698412698413s;0;
0.7024036281179139s;0;
0.7035374149659864s;0;
0.704671201814059s;0;
0.7058049886621316s;0;
0.7069387755102041s;0;
0.7080725623582766s;0;
0.7092063492063493s;10369;
0.705827664399093s;0;
0.7069614512471656s;0;
0.7080952380952381s;0;
0.7092290249433106s;0;
0.7103628117913833s;0;
0.7114965986394558s;0;
0.7126303854875283s;0;
0.713764172335601s;0;
0.7148979591836735s;0;
0.716031746031746s;0;
0.7171655328798187s;0;
0.7182993197278912s;0;
0.7194331065759637s;0;
0.7205668934240363s;0;
0.7217006802721089s;0;
0.7228344671201814s;0;
0.723968253968254s;0;
0.7251020408163266s;0;
0.7262358276643991s;0;
0.7273696145124717s;0;
0.7285034013605443s;0;
0.7296371882086168s;0;
0.7307709750566893s;0;
0.731904761904762s;0;
0.7330385487528345s;0;
0.734172335600907s;0;
0.7353061224489796s;7364;
0.7319274376417234s;0;
0.7330612244897959s;0;
0.7341950113378685s;0;
0.735328798185941s;0;
0.7364625850340136s;0;
0.7375963718820862s;0;
0.7387301587301587s;0;
0.7398639455782313s;0;
0.7409977324263038s;0;
0.7421315192743764s;0;
0.743265306122449s;0;
0.7443990929705215s;0;
0.7455328798185941s;0;
0.7466666666666667s;0;
0.7478004535147392s;0;
0.7489342403628118s;0;
0.7500680272108844s;0;
0.7512018140589569s;0;
0.7523356009070294s;0;
0.7534693877551021s;0;
0.7546031746031746s;0;
0.7557369614512471s;0;
0.7568707482993198s;0;
0.7580045351473923s;0;
0.7591383219954648s;0;
0.7602721088435375s;0;
0.76140589569161s;12222;
0.7580272108843538s;0;
0.7591609977324263s;0;
0.7602947845804988s;0;
0.7614285714285715s;0;
0.762562358276644s;0;
0.7636961451247165s;0;
0.7648299319727891s;0;
0.7659637188208617s;0;
0.7670975056689342s;0;
0.7682312925170068s;0;
0.7693650793650794s;0;
0.7704988662131519s;0;
0.7716326530612244s;0;
0.772766439909297s;0;
0.7739002267573696s;0;
0.7750340136054421s;0;
0.7761678004535147s;0;
0.7773015873015873s;0;
0.7784353741496598s;0;
0.7795691609977324s;0;
0.780702947845805s;0;
0.7818367346938775s;0;
0.7829705215419501s;0;
0.7841043083900227s;0;
0.7852380952380952s;0;
0.7863718820861678s;0;
0.7875056689342403s;7298;
0.7841269841269842s;0;
0.7852607709750568s;0;
0.7863945578231293s;0;
0.7875283446712019s;0;
0.7886621315192744s;0;
0.789795918367347s;0;
0.7909297052154196s;0;
0.7920634920634921s;0;
0.7931972789115647s;0;
0.7943310657596373s;0;
0.7954648526077098s;0;
0.7965986394557824s;0;
0.797732426303855s;0;
0.7988662131519275s;0;
0.8s;0;
0.8011337868480727s;0;
0.8022675736961452s;0;
0.8034013605442177s;0;
0.8045351473922904s;0;
0.8056689342403629s;0;
0.8068027210884354s;0;
0.807936507936508s;0;
0.8090702947845806s;0;
0.8102040816326531s;0;
0.8113378684807256s;0;
0.8124716553287983s;0;
0.8136054421768708s;5347;
0.8102267573696145s;0;
0.811360544217687s;0;
0.8124943310657595s;0;
0.8136281179138322s;0;
0.8147619047619047s;0;
0.8158956916099772s;0;
0.8170294784580499s;0;
0.8181632653061224s;0;
0.8192970521541949s;0;
0.8204308390022675s;0;
0.8215646258503401s;0;
0.8226984126984126s;0;
0.8238321995464852s;0;
0.8249659863945578s;0;
0.8260997732426303s;0;
0.8272335600907029s;0;
0.8283673469387755s;0;
0.829501133786848s;0;
0.8306349206349206s;0;
0.8317687074829931s;0;
0.8329024943310657s;0;
0.8340362811791383s;0;
0.8351700680272108s;0;
0.8363038548752834s;0;
0.837437641723356s;0;
0.8385714285714285s;0;
0.839705215419501s;3998;
0.8363265306122449s;0;
0.8374603174603175s;0;
0.8385941043083901s;0;
0.8397278911564626s;0;
0.8408616780045352s;0;
0.8419954648526078s;0;
0.8431292517006803s;0;
0.8442630385487528s;0;
0.8453968253968255s;0;
0.846530612244898s;0;
0.8476643990929705s;0;
0.8487981859410432s;0;
0.8499319727891157s;0;
0.8510657596371882s;0;
0.8521995464852608s;0;
0.8533333333333334s;0;
0.8544671201814059s;0;
0.8556009070294784s;0;
0.8567346938775511s;0;
0.8578684807256236s;0;
0.8590022675736961s;0;
0.8601360544217688s;0;
0.8612698412698413s;0;
0.8624036281179138s;0;
0.8635374149659865s;0;
0.864671201814059s;4753;
0.8658049886621315s;586;
0.8624263038548753s;0;
0.8635600907029478s;0;
0.8646938775510205s;0;
0.865827664399093s;0;
0.8669614512471655s;0;
0.8680952380952381s;0;
0.8692290249433107s;0;
0.8703628117913832s;0;
0.8714965986394558s;0;
0.8726303854875284s;0;
0.8737641723356009s;0;
0.8748979591836735s;0;
0.876031746031746s;0;
0.8771655328798186s;0;
0.8782993197278912s;0;
0.8794331065759637s;0;
0.8805668934240363s;0;
0.8817006802721089s;0;
0.8828344671201814s;0;
0.883968253968254s;0;
0.8851020408163266s;0;
0.8862358276643991s;0;
0.8873696145124716s;0;
0.8885034013605442s;0;
0.8896371882086168s;0;
0.8907709750566893s;0;
0.8919047619047619s;2587;
0.8885260770975056s;0;
0.8896598639455783s;0;
0.8907936507936508s;0;
0.8919274376417233s;0;
0.8930612244897959s;0;
0.8941950113378685s;0;
0.895328798185941s;0;
0.8964625850340135s;0;
0.8975963718820862s;0;
0.8987301587301587s;0;
0.8998639455782312s;0;
0.9009977324263039s;0;
0.9021315192743764s;0;
0.9032653061224489s;0;
0.9043990929705216s;0;
0.9055328798185941s;0;
0.9066666666666666s;0;
0.9078004535147393s;0;
0.9089342403628118s;0;
0.9100680272108843s;0;
0.911201814058957s;0;
0.9123356009070295s;0;
0.913469387755102s;0;
0.9146031746031746s;0;
0.9157369614512472s;0;
0.9168707482993197s;0;
0.9180045351473923s;2691;
0.914625850340136s;0;
0.9157596371882086s;0;
0.9168934240362812s;0;
0.9180272108843537s;0;
0.9191609977324263s;0;
0.9202947845804988s;0;
0.9214285714285714s;0;
0.922562358276644s;0;
0.9236961451247165s;0;
0.9248299319727891s;0;
0.9259637188208617s;0;
0.9270975056689342s;0;
0.9282312925170068s;0;
0.9293650793650793s;0;
0.9304988662131519s;0;
0.9316326530612244s;0;
0.932766439909297s;0;
0.9339002267573696s;0;
0.9350340136054421s;0;
0.9361678004535147s;0;
0.9373015873015873s;0;
0.9384353741496598s;0;
0.9395691609977324s;0;
0.940702947845805s;0;
0.9418367346938775s;0;
0.94297052154195s;0;
0.9441043083900227s;4107;
0.9407256235827665s;0;
0.9418594104308391s;0;
0.9429931972789116s;0;
0.9441269841269841s;0;
0.9452607709750568s;0;
0.9463945578231293s;0;
0.9475283446712018s;0;
0.9486621315192745s;0;
0.949795918367347s;0;
0.9509297052154195s;0;
0.9520634920634922s;0;
0.9531972789115647s;0;
0.9543310657596372s;0;
0.9554648526077099s;0;
0.9565986394557824s;0;
0.9577324263038549s;0;
0.9588662131519275s;0;
0.9600000000000001s;0;
0.9611337868480726s;0;
0.9622675736961452s;0;
0.9634013605442178s;0;
0.9645351473922903s;0;
0.9656689342403628s;0;
0.9668027210884355s;0;
0.967936507936508s;0;
0.9690702947845805s;0;
0.9702040816326531s;4244;
0.9668253968253969s;0;
0.9679591836734694s;0;
0.969092970521542s;0;
0.9702267573696145s;0;
0.9713605442176871s;0;
0.9724943310657597s;0;
0.9736281179138322s;0;
0.9747619047619048s;0;
0.9758956916099774s;0;
0.9770294784580499s;0;
0.9781632653061225s;0;
0.979297052154195s;0;
0.9804308390022676s;0;
0.9815646258503402s;0;
0.9826984126984127s;0;
0.9838321995464853s;0;
0.9849659863945579s;0;
0.9860997732426304s;0;
0.987233560090703s;0;
0.9883673469387756s;0;
0.9895011337868481s;0;
0.9906349206349206s;0;
0.9917687074829933s;0;
0.9929024943310658s;0;
0.9940362811791383s;0;
0.995170068027211s;0;
0.9963038548752835s;1999;
0.9929251700680273s;0;
0.9940589569160998s;0;
0.9951927437641723s;0;
0.996326530612245s;0;
0.9974603174603175s;0;
0.99859410430839s;0;
0.9997278911564627s;0;
1.0008616780045352s;0;
1.0019954648526077s;0;
1.0031292517006802s;0;
1.0042630385487528s;0;
1.0053968253968255s;0;
1.006530612244898s;0;
1.0076643990929706s;0;
1.008798185941043s;0;
1.0099319727891156s;0;
1.0110657596371881s;0;
1.012199546485261s;0;
1.0133333333333334s;0;
1.014467120181406s;0;
1.0156009070294785s;0;
1.016734693877551s;0;
1.0178684807256235s;0;
1.0190022675736963s;0;
1.0201360544217688s;0;
1.0212698412698413s;0;
1.0224036281179139s;2073;
1.0190249433106575s;0;
1.0201587301587303s;0;
1.0212925170068028s;0;
1.0224263038548753s;0;
1.0235600907029478s;0;
1.0246938775510204s;0;
1.025827664399093s;0;
1.0269614512471654s;0;
1.0280952380952382s;0;
